Nome,Currículo Lattes,Nome em Citações Bibliográficas
Carolyn Elinore Barnes Proenca,http://lattes.cnpq.br/8243382046974477,"PROENCA, C. E. B.;Proença, Carolyn Elinore Barnes;Carolyn Elinore Barnes Proença;Elinore Barnes Proença, Carolyn;Elinore BA, Carolyn;PROENÇA, Y CAROLYN ELINORE BARNES;Carolyn E. B. Proença;CAROLYN E. B. PROENÇA;PROENÇA, CAROLYN E. B.;PROENÃ§A, CAROLYN;PROENÇA, CAROLYN;Proença, Carol E.B.;PROENÇA, CAROLYN E.B;PROENCA, CAROLYN E. B.;PROENÇA, C. E. B.;Proença, Carolyn E.B.;The Brazil Flora Group;BFG - The Brazil Flora Group"
Claudinei Gouveia de Oliveira,http://lattes.cnpq.br/6633214640701119,"OLIVEIRA, C. G.;de Oliveira, C. G.;Oliveira, Claudinei Gouveia;de oliveira, claudinei G.;de oliveira, claudinei gouveia;Deoliveira;deoliveira, c;OLIVEIRA, CLAUDINEI GOUVEIA DE;GOUVEIA DE OLIVEIRA, CLAUDINEI;OLIVEIRA, CLAUDINEI G."
Cristiano Jacques Miosso Rodrigues Mendes,http://lattes.cnpq.br/0535100751136568,"Miosso, Cristiano J.;Miosso, C.;Miosso, C. J.;Miosso, Cristiano Jacques;Mendes, C. J. M. R.;RODRIGUES MENDES, CRISTIANO JACQUES MIOSSO;MIOSSO, CRISTIANO J;JACQUES MIOSSO, CRISTIANO;MIOSSO, C.J.;MENDES, CRISTIANO JACQUES MIOSSO RODRIGUES"
Daniel Schroeter Simião,http://lattes.cnpq.br/4068903193779093,"SIMIÃO, Daniel Schroeter;SIMIÃO, Daniel;SIMIÃO, DANIEL SCHROETER"
Dayani Galato,http://lattes.cnpq.br/4991370267086347,"GALATO, D.;Galato, Dayani"
Dioney Moreira Gomes,http://lattes.cnpq.br/8981925310366979,"GOMES, Dioney Moreira;GOMES, DIONEY M."
Edileuza Fernandes da Silva,http://lattes.cnpq.br/8952690372824382,"FERNANDES SILVA, Edileuza"
Eileen Pfeiffer Flores,http://lattes.cnpq.br/4007163045058892,"FLORES, E. P."
Eliane Said Dutra,http://lattes.cnpq.br/0478497330421099,"DUTRA, E. S.;DUTRA, ELIANE SAID;DUTRA, ELIANE;DUTRA, ELIANE S.;DUTRA, E.S.;DUTRA, ELIANE S"
Emerson Ferreira de Melo,http://lattes.cnpq.br/4191295466830127,"MELO, E. F.;de Melo, Emerson"
Fátima de Souza Freire,http://lattes.cnpq.br/3833345142951348,"FREIRE, F. S.;FREIRE, FÁTIMA DE SOUZA;FREIRE, FÁTIMA;FREIRE, FATIMA DE SOUZA;DE SOUZA FREIRE, FÀTIMA"
